image_path,phone,image_type,hog_vector_length,hog_feature_1,hog_feature_2,hog_feature_3,hog_feature_4,hog_feature_5,features_truncated
phone2_SamsungS21fe\1_high_resolution.jpg,phone2_SamsungS21fe,high_res,142884,0.01255385,0.006591937,0.005868354,0.012040535,0.0106815165,...full_vector_available
phone2_SamsungS21fe\3_high_light.jpg,phone2_SamsungS21fe,high_light,142884,0.072496004,0.00911593,0.039777618,0.062310513,0.4066606,...full_vector_available
phone2_SamsungS21fe\4_low_light.jpg,phone2_SamsungS21fe,low_light,142884,0.11596469,0.06297766,0.14298634,0.079893626,0.23290004,...full_vector_available
phone2_SamsungS21fe\5_weather_occlusion.jpg,phone2_SamsungS21fe,weather_occlusion,142884,0.12300163,0.0146448575,0.050815254,0.054144517,0.055863943,...full_vector_available
phone3_OnePlus6T\1_high_resolution.jpg,phone3_OnePlus6T,high_res,142884,0.123391844,0.0,0.2018357,0.1513997,0.2582259,...full_vector_available
phone3_OnePlus6T\2_low_resolution.jpg,phone3_OnePlus6T,low_res,142884,0.36679354,0.01406828,0.019681027,0.011151103,0.024635848,...full_vector_available
phone3_OnePlus6T\3_high_light.jpg,phone3_OnePlus6T,high_light,142884,0.14935534,0.13520065,0.17251247,0.13669682,0.2249269,...full_vector_available
phone3_OnePlus6T\4_low_light.jpg,phone3_OnePlus6T,low_light,142884,0.21949022,0.029503243,0.089210056,0.09036629,0.23533218,...full_vector_available
phone3_OnePlus6T\5_Weather_occulsion.jpg,phone3_OnePlus6T,weather_occlusion,142884,0.2048819,0.054488868,0.18576165,0.21657632,0.2589035,...full_vector_available
phone4_SamsungGalaxyA34\1_high_resolution.jpg,phone4_SamsungGalaxyA34,high_res,142884,0.33542067,0.11280503,0.0,0.052665994,0.33542067,...full_vector_available
phone4_SamsungGalaxyA34\2_low_resolution.jpg,phone4_SamsungGalaxyA34,low_res,142884,0.15667765,0.0012921459,0.022893436,0.0,0.27595583,...full_vector_available
