image,set,pred_class,confidence
1_high_resolution.jpeg,original,washbasin,0.31162169575691223
2_low_resolution.jpeg,original,meerkat,0.12624727189540863
3_high_light.jpeg,original,water_bottle,0.460052490234375
4_low_light.jpeg,original,radiator,0.12499365210533142
5_weather_occlusion.jpeg,original,stone_wall,0.6873326897621155
1_high_resolution.jpg,original,water_bottle,0.4967043995857239
2_low_resolution.jpeg,original,lighter,0.13127046823501587
3_high_light.jpg,original,refrigerator,0.21800673007965088
4_low_light.jpg,original,can_opener,0.08543581515550613
5_weather_occlusion.jpg,original,shovel,0.1317695826292038
1_high_resolution.jpg,original,turnstile,0.4474187195301056
2_low_resolution.jpg,original,soap_dispenser,0.8280957937240601
3_high_light.jpg,original,pay-phone,0.14856459200382233
4_low_light.jpg,original,soap_dispenser,0.11906519532203674
5_Weather_occulsion.jpg,original,volcano,0.4923290014266968
1_high_resolution.jpg,original,sundial,0.198550745844841
2_low_resolution.jpg,original,shovel,0.15615323185920715
3_high_light.jpg,original,maze,0.18018712103366852
4_low_light.jpg,original,patio,0.8078058362007141
5_Weather_Occulsion.jpg,original,lakeside,0.5023540258407593
1_high_resolution.jpg,original,bucket,0.4668358564376831
2_low_resolution.jpg,original,alp,0.401110976934433
3_High_light.jpg,original,washbasin,0.4029008150100708
4_low_light.jpg,original,safe,0.31024235486984253
5_Weather_occulsion.jpg,original,lakeside,0.7979369163513184
phone1_iPhone15Plus_1_high_resolution_median.jpg,median,washbasin,0.325153648853302
phone1_iPhone15Plus_2_low_resolution_median.jpg,median,washbasin,0.0920487567782402
phone1_iPhone15Plus_3_high_light_median.jpg,median,water_bottle,0.4546443223953247
phone1_iPhone15Plus_4_low_light_median.jpg,median,radiator,0.11717648059129715
phone1_iPhone15Plus_5_weather_occlusion_median.jpg,median,stone_wall,0.6872324347496033
phone2_SamsungS21fe_1_high_resolution_median.jpg,median,water_bottle,0.5049861669540405
phone2_SamsungS21fe_2_low_resolution_median.jpg,median,cocktail_shaker,0.1296871453523636
phone2_SamsungS21fe_3_high_light_median.jpg,median,refrigerator,0.17995288968086243
phone2_SamsungS21fe_4_low_light_median.jpg,median,can_opener,0.08365339785814285
phone2_SamsungS21fe_5_weather_occlusion_median.jpg,median,shovel,0.15269753336906433
phone3_OnePlus6T_1_high_resolution_median.jpg,median,turnstile,0.4280965328216553
phone3_OnePlus6T_2_low_resolution_median.jpg,median,soap_dispenser,0.6792476773262024
phone3_OnePlus6T_3_high_light_median.jpg,median,soap_dispenser,0.23619604110717773
phone3_OnePlus6T_4_low_light_median.jpg,median,soap_dispenser,0.12284450232982635
phone3_OnePlus6T_5_Weather_occulsion_median.jpg,median,volcano,0.6222755312919617
phone4_SamsungGalaxyA34_1_high_resolution_median.jpg,median,potter's_wheel,0.21284687519073486
phone4_SamsungGalaxyA34_2_low_resolution_median.jpg,median,fiddler_crab,0.05808250978589058
phone4_SamsungGalaxyA34_3_high_light_median.jpg,median,maze,0.11071354150772095
phone4_SamsungGalaxyA34_4_low_light_median.jpg,median,patio,0.7623358964920044
phone4_SamsungGalaxyA34_5_Weather_Occulsion_median.jpg,median,lakeside,0.5730196237564087
phone5_NothingPhone2A_1_high_resolution_median.jpg,median,bucket,0.44720935821533203
phone5_NothingPhone2A_2_low_resolution_median.jpg,median,alp,0.41164058446884155
phone5_NothingPhone2A_3_High_light_median.jpg,median,washbasin,0.3686533272266388
phone5_NothingPhone2A_4_low_light_median.jpg,median,safe,0.3007368743419647
phone5_NothingPhone2A_5_Weather_occulsion_median.jpg,median,lakeside,0.6198799014091492
