image,task,model,num_instances,mean_conf,latency_s
1_high_resolution.jpeg,detect_original,yolo11n,0,0.0,0.419
2_low_resolution.jpeg,detect_original,yolo11n,0,0.0,0.125
3_high_light.jpeg,detect_original,yolo11n,1,0.46495935320854187,0.19
4_low_light.jpeg,detect_original,yolo11n,0,0.0,0.157
5_weather_occlusion.jpeg,detect_original,yolo11n,0,0.0,0.197
1_high_resolution.jpg,detect_original,yolo11n,2,0.3695980906486511,0.119
2_low_resolution.jpeg,detect_original,yolo11n,2,0.5234848260879517,0.063
3_high_light.jpg,detect_original,yolo11n,3,0.5677173733711243,0.098
4_low_light.jpg,detect_original,yolo11n,3,0.5480722784996033,0.102
5_weather_occlusion.jpg,detect_original,yolo11n,0,0.0,0.114
1_high_resolution.jpg,detect_original,yolo11n,1,0.4923868775367737,0.145
2_low_resolution.jpg,detect_original,yolo11n,1,0.9143917560577393,0.071
3_high_light.jpg,detect_original,yolo11n,1,0.7720335721969604,0.084
4_low_light.jpg,detect_original,yolo11n,2,0.44178059697151184,0.077
5_Weather_occulsion.jpg,detect_original,yolo11n,0,0.0,0.076
1_high_resolution.jpg,detect_original,yolo11n,2,0.5616313219070435,0.066
2_low_resolution.jpg,detect_original,yolo11n,1,0.5231310129165649,0.096
3_high_light.jpg,detect_original,yolo11n,0,0.0,0.079
4_low_light.jpg,detect_original,yolo11n,3,0.618788480758667,0.075
5_Weather_Occulsion.jpg,detect_original,yolo11n,0,0.0,0.094
1_high_resolution.jpg,detect_original,yolo11n,2,0.3849286437034607,0.103
2_low_resolution.jpg,detect_original,yolo11n,0,0.0,0.093
3_High_light.jpg,detect_original,yolo11n,1,0.8545882105827332,0.1
4_low_light.jpg,detect_original,yolo11n,1,0.701511025428772,0.098
5_Weather_occulsion.jpg,detect_original,yolo11n,0,0.0,0.096
1_high_resolution.jpeg,detect_original,yolo11s,3,0.37847700715065,0.318
2_low_resolution.jpeg,detect_original,yolo11s,0,0.0,0.158
3_high_light.jpeg,detect_original,yolo11s,1,0.29213643074035645,0.216
4_low_light.jpeg,detect_original,yolo11s,0,0.0,0.202
5_weather_occlusion.jpeg,detect_original,yolo11s,0,0.0,0.234
1_high_resolution.jpg,detect_original,yolo11s,1,0.7424682378768921,0.16
2_low_resolution.jpeg,detect_original,yolo11s,3,0.6379426121711731,0.109
3_high_light.jpg,detect_original,yolo11s,4,0.4235785901546478,0.156
4_low_light.jpg,detect_original,yolo11s,2,0.6044209599494934,0.159
5_weather_occlusion.jpg,detect_original,yolo11s,0,0.0,0.172
1_high_resolution.jpg,detect_original,yolo11s,1,0.5436822175979614,0.194
2_low_resolution.jpg,detect_original,yolo11s,2,0.758454442024231,0.122
3_high_light.jpg,detect_original,yolo11s,3,0.5078102350234985,0.131
4_low_light.jpg,detect_original,yolo11s,1,0.5273829698562622,0.125
5_Weather_occulsion.jpg,detect_original,yolo11s,0,0.0,0.122
1_high_resolution.jpg,detect_original,yolo11s,2,0.7965216040611267,0.109
2_low_resolution.jpg,detect_original,yolo11s,1,0.39523592591285706,0.168
3_high_light.jpg,detect_original,yolo11s,1,0.29524314403533936,0.13
4_low_light.jpg,detect_original,yolo11s,2,0.5587731599807739,0.127
5_Weather_Occulsion.jpg,detect_original,yolo11s,0,0.0,0.146
1_high_resolution.jpg,detect_original,yolo11s,2,0.42095160484313965,0.148
2_low_resolution.jpg,detect_original,yolo11s,0,0.0,0.137
3_High_light.jpg,detect_original,yolo11s,2,0.7166658639907837,0.144
4_low_light.jpg,detect_original,yolo11s,1,0.8811485171318054,0.141
5_Weather_occulsion.jpg,detect_original,yolo11s,0,0.0,0.151
phone1_iPhone15Plus_1_high_resolution_median.jpg,detect_median,yolo11n,0,0.0,0.186
phone1_iPhone15Plus_2_low_resolution_median.jpg,detect_median,yolo11n,0,0.0,0.119
phone1_iPhone15Plus_3_high_light_median.jpg,detect_median,yolo11n,1,0.38539445400238037,0.151
phone1_iPhone15Plus_4_low_light_median.jpg,detect_median,yolo11n,0,0.0,0.136
phone1_iPhone15Plus_5_weather_occlusion_median.jpg,detect_median,yolo11n,0,0.0,0.15
phone2_SamsungS21fe_1_high_resolution_median.jpg,detect_median,yolo11n,2,0.3137702941894531,0.13
phone2_SamsungS21fe_2_low_resolution_median.jpg,detect_median,yolo11n,3,0.5503533482551575,0.078
phone2_SamsungS21fe_3_high_light_median.jpg,detect_median,yolo11n,3,0.5281031131744385,0.097
phone2_SamsungS21fe_4_low_light_median.jpg,detect_median,yolo11n,2,0.6357246041297913,0.098
phone2_SamsungS21fe_5_weather_occlusion_median.jpg,detect_median,yolo11n,0,0.0,0.112
phone3_OnePlus6T_1_high_resolution_median.jpg,detect_median,yolo11n,1,0.4654568135738373,0.125
phone3_OnePlus6T_2_low_resolution_median.jpg,detect_median,yolo11n,1,0.6998250484466553,0.087
phone3_OnePlus6T_3_high_light_median.jpg,detect_median,yolo11n,2,0.5450791120529175,0.093
phone3_OnePlus6T_4_low_light_median.jpg,detect_median,yolo11n,2,0.43517714738845825,0.092
phone3_OnePlus6T_5_Weather_occulsion_median.jpg,detect_median,yolo11n,0,0.0,0.096
phone4_SamsungGalaxyA34_1_high_resolution_median.jpg,detect_median,yolo11n,1,0.7727071046829224,0.094
phone4_SamsungGalaxyA34_2_low_resolution_median.jpg,detect_median,yolo11n,1,0.45029979944229126,0.106
phone4_SamsungGalaxyA34_3_high_light_median.jpg,detect_median,yolo11n,0,0.0,0.096
phone4_SamsungGalaxyA34_4_low_light_median.jpg,detect_median,yolo11n,2,0.7180727124214172,0.089
phone4_SamsungGalaxyA34_5_Weather_Occulsion_median.jpg,detect_median,yolo11n,0,0.0,0.11
phone5_NothingPhone2A_1_high_resolution_median.jpg,detect_median,yolo11n,2,0.40686100721359253,0.114
phone5_NothingPhone2A_2_low_resolution_median.jpg,detect_median,yolo11n,0,0.0,0.106
phone5_NothingPhone2A_3_High_light_median.jpg,detect_median,yolo11n,1,0.859306275844574,0.108
phone5_NothingPhone2A_4_low_light_median.jpg,detect_median,yolo11n,1,0.6686345934867859,0.105
phone5_NothingPhone2A_5_Weather_occulsion_median.jpg,detect_median,yolo11n,0,0.0,0.115
phone1_iPhone15Plus_1_high_resolution_median.jpg,detect_median,yolo11s,1,0.42126286029815674,0.232
phone1_iPhone15Plus_2_low_resolution_median.jpg,detect_median,yolo11s,0,0.0,0.146
phone1_iPhone15Plus_3_high_light_median.jpg,detect_median,yolo11s,1,0.25317928194999695,0.163
phone1_iPhone15Plus_4_low_light_median.jpg,detect_median,yolo11s,0,0.0,0.157
phone1_iPhone15Plus_5_weather_occlusion_median.jpg,detect_median,yolo11s,0,0.0,0.169
phone2_SamsungS21fe_1_high_resolution_median.jpg,detect_median,yolo11s,1,0.8183389902114868,0.134
phone2_SamsungS21fe_2_low_resolution_median.jpg,detect_median,yolo11s,8,0.4341917932033539,0.12
phone2_SamsungS21fe_3_high_light_median.jpg,detect_median,yolo11s,3,0.45857515931129456,0.125
phone2_SamsungS21fe_4_low_light_median.jpg,detect_median,yolo11s,1,0.9527519941329956,0.117
phone2_SamsungS21fe_5_weather_occlusion_median.jpg,detect_median,yolo11s,0,0.0,0.139
phone3_OnePlus6T_1_high_resolution_median.jpg,detect_median,yolo11s,1,0.304856538772583,0.161
phone3_OnePlus6T_2_low_resolution_median.jpg,detect_median,yolo11s,2,0.5991295576095581,0.121
phone3_OnePlus6T_3_high_light_median.jpg,detect_median,yolo11s,1,0.7878943085670471,0.125
